Time	logEncontrado
[2021-01-13 21:07:58]	Validador SIA 1.3.2021 --------------------------------------
[2021-01-13 21:07:58]	Agente creado. PID-100144. [01172|201906~202010]
[2021-01-13 21:07:58]	Bucket de errores creado. PID-100144.
[2021-01-13 21:07:58]	Inicio del interrogatorio. PID-100144.
[2021-01-13 21:07:58]	Apertura de revisiÃ³n de pre-requisitos.
[2021-01-13 21:07:58]	    Error: Se identificaron archivos duplicados.
[2021-01-13 21:07:58]	    Error: Se identificaron archivos faltantes.
[2021-01-13 21:07:58]	Fin del proceso de revisiÃ³n por errores crÃ­ticos 101-102.
