Time	logEncontrado
[2021-01-13 21:07:16]	Validador SIA 1.3.2021 --------------------------------------
[2021-01-13 21:07:16]	Agente creado. PID-100143. [01172|201906~202010]
[2021-01-13 21:07:16]	Bucket de errores creado. PID-100143.
[2021-01-13 21:07:16]	Inicio del interrogatorio. PID-100143.
[2021-01-13 21:07:16]	Apertura de revisiÃ³n de pre-requisitos.
[2021-01-13 21:07:17]	    Error: Se identificaron archivos duplicados.
[2021-01-13 21:07:17]	    Error: Se identificaron archivos faltantes.
[2021-01-13 21:07:17]	Fin del proceso de revisiÃ³n por errores crÃ­ticos 101-102.
